Date,Temperature
2020-01-01,44.96
2020-01-02,45.32
2020-01-03,48.56
2020-01-04,56.66
2020-01-05,43.52
2020-01-06,46.22
2020-01-07,46.94
2020-01-08,44.42
2020-01-09,45.32
2020-01-10,50.900000000000006
2020-01-11,62.06
2020-01-12,66.02
2020-01-13,62.06
2020-01-14,62.78
2020-01-15,60.44
2020-01-16,61.519999999999996
2020-01-17,45.5
2020-01-18,41.18
2020-01-19,47.84
2020-01-20,34.16
2020-01-21,30.38
2020-01-22,32.72
2020-01-23,36.86
2020-01-24,46.4
2020-01-25,46.58
2020-01-26,40.82
2020-01-27,44.96
2020-01-28,44.96
2020-01-29,43.879999999999995
2020-01-30,45.5
2020-01-31,37.22
2021-01-01,49.82
2021-01-02,46.94
2021-01-03,53.78
2021-01-04,47.480000000000004
2021-01-05,44.78
2021-01-06,41.54
2021-01-07,39.019999999999996
2021-01-08,38.480000000000004
2021-01-09,38.84
2021-01-10,37.22
2021-01-11,38.66
2021-01-12,44.96
2021-01-13,41.54
2021-01-14,41.72
2021-01-15,41.18
2021-01-16,38.480000000000004
2021-01-17,36.68
2021-01-18,41.54
2021-01-19,41.72
2021-01-20,50.18
2021-01-21,46.58
2021-01-22,48.56
2021-01-23,43.34
2021-01-24,41.18
2021-01-25,46.58
2021-01-26,46.76
2021-01-27,50.72
2021-01-28,43.879999999999995
2021-01-29,33.44
2021-01-30,35.96
2021-01-31,38.12
